TournamentID,StageID,StageSequence,StageURL
7955,23135,5,https://th.sportscorpion.com/eng/tournament/stage/23135/matches/?print
7955,23136,6,https://th.sportscorpion.com/eng/tournament/stage/23136/matches/?print
7956,23138,2,https://th.sportscorpion.com/eng/tournament/stage/23138/matches/?print
7956,23139,3,https://th.sportscorpion.com/eng/tournament/stage/23139/matches/?print
7956,23140,4,https://th.sportscorpion.com/eng/tournament/stage/23140/matches/?print
7956,23141,5,https://th.sportscorpion.com/eng/tournament/stage/23141/matches/?print
7791,23122,2,https://th.sportscorpion.com/eng/tournament/stage/23122/matches/?print
7791,23123,3,https://th.sportscorpion.com/eng/tournament/stage/23123/matches/?print
7906,23126,1,https://th.sportscorpion.com/eng/tournament/stage/23126/matches/?print
7906,23128,2,https://th.sportscorpion.com/eng/tournament/stage/23128/matches/?print
7906,23137,3,https://th.sportscorpion.com/eng/tournament/stage/23137/matches/?print
7906,23142,4,https://th.sportscorpion.com/eng/tournament/stage/23142/matches/?print
7906,23144,5,https://th.sportscorpion.com/eng/tournament/stage/23144/matches/?print
7906,23145,6,https://th.sportscorpion.com/eng/tournament/stage/23145/matches/?print
7953,23124,1,https://th.sportscorpion.com/eng/tournament/stage/23124/matches/?print
7957,23146,2,https://th.sportscorpion.com/eng/tournament/stage/23146/matches/?print
7918,23120,2,https://th.sportscorpion.com/eng/tournament/stage/23120/matches/?print
7918,23121,3,https://th.sportscorpion.com/eng/tournament/stage/23121/matches/?print
7949,23109,1,https://th.sportscorpion.com/eng/tournament/stage/23109/matches/?print
7949,23119,2,https://th.sportscorpion.com/eng/tournament/stage/23119/matches/?print
7932,23111,2,https://th.sportscorpion.com/eng/tournament/stage/23111/matches/?print
7950,23110,1,https://th.sportscorpion.com/eng/tournament/stage/23110/matches/?print
7950,23112,2,https://th.sportscorpion.com/eng/tournament/stage/23112/matches/?print
7933,23085,2,https://th.sportscorpion.com/eng/tournament/stage/23085/matches/?print
7934,23084,2,https://th.sportscorpion.com/eng/tournament/stage/23084/matches/?print
7934,23090,3,https://th.sportscorpion.com/eng/tournament/stage/23090/matches/?print
7934,23091,4,https://th.sportscorpion.com/eng/tournament/stage/23091/matches/?print
